A,p,t,R_train_A_p,R_validation_A_p
9,1.0,0.94,1.0,0.19
39,1.0,1.12,0.73,0.52
32,1.0,2.18,0.71,0.52
37,1.0,1.08,0.73,0.52
38,1.0,1.13,0.73,0.52
4,0.1,0.18,1.0,0.18
5,0.1,2.39,1.0,0.31
7,0.1,0.34,1.0,0.15
13,0.1,4.67,1.0,0.43
23,0.1,3.18,1.0,0.36
4,0.2,0.09,1.0,0.12
5,0.2,3.27,1.0,0.36
7,0.2,0.19,1.0,0.13
13,0.2,11.29,1.0,0.48
23,0.2,5.58,1.0,0.35
4,0.4,0.18,1.0,0.15
5,0.4,5.42,1.0,0.4
7,0.4,0.37,1.0,0.21
13,0.4,31.26,1.0,0.52
23,0.4,12.06,1.0,0.38
4,0.8,0.37,1.0,0.19
5,0.8,9.43,1.0,0.45
7,0.8,26.03,1.0,0.18
13,0.8,87.98,1.0,0.53
23,0.8,29.48,1.0,0.38
4,1.0,0.44,1.0,0.19
5,1.0,12.38,1.0,0.44
7,1.0,36.8,1.0,0.17
13,1.0,119.49,1.0,0.55
23,1.0,35.76,1.0,0.45
4,1.0,0.44,1.0,0.19
5,1.0,12.38,1.0,0.44
7,1.0,36.8,1.0,0.17
13,1.0,119.49,1.0,0.55
23,1.0,35.76,1.0,0.45
4,1.0,0.44,1.0,0.19
5,1.0,12.38,1.0,0.44
7,1.0,36.8,1.0,0.17
13,1.0,119.49,1.0,0.55
23,1.0,35.76,1.0,0.45
4,1.0,0.44,1.0,0.19
5,1.0,12.38,1.0,0.44
7,1.0,36.8,1.0,0.17
13,1.0,119.49,1.0,0.55
23,1.0,35.76,1.0,0.45
4,1.0,0.44,1.0,0.19
5,1.0,12.38,1.0,0.44
7,1.0,36.8,1.0,0.17
13,1.0,90.69,None,None
