A,p,t,R_train_A_p,R_validation_A_p
15,0.1,3.76,1.0,0.24
15,0.2,9.25,1.0,0.26
15,0.3,16.63,1.0,0.29
15,0.4,24.71,1.0,0.3
15,0.5,34.84,1.0,0.32
15,0.6,45.5,1.0,0.32
15,0.7,58.75,1.0,0.33
15,0.8,72.35,1.0,0.31
15,0.9,87.32,1.0,0.32
15,1.0,103.64,1.0,0.32
10,0.1,3.24,1.0,0.24
10,0.2,6.4,1.0,0.26
10,0.3,10.22,1.0,0.29
10,0.4,16.52,1.0,0.3
10,0.5,22.57,1.0,0.32
10,0.6,33.23,1.0,0.32
10,0.7,41.07,1.0,0.33
10,0.8,52.2,1.0,0.31
10,0.9,64.04,1.0,0.32
10,1.0,78.96,1.0,0.32
12,0.1,3.25,1.0,0.38
12,0.2,6.66,1.0,0.42
12,0.3,9.8,1.0,0.44
12,0.4,14.46,1.0,0.49
12,0.5,20.83,1.0,0.46
12,0.6,28.28,1.0,0.47
12,0.7,33.41,1.0,0.47
12,0.8,42.62,1.0,0.48
12,0.9,53.24,1.0,0.49
12,1.0,58.82,1.0,0.48
11,0.1,4.01,1.0,0.32
11,0.2,10.06,1.0,0.36
11,0.3,17.25,1.0,0.37
11,0.4,25.26,1.0,0.39
11,0.5,35.37,1.0,0.39
11,0.6,47.2,1.0,0.39
11,0.7,4.28,None,None
