A,p,t,R_train_A_p,R_validation_A_p
0,0.1,2.08,1.0,0.34
38,0.1,0.17,0.99,0.38
39,0.1,0.17,0.99,0.38
25,0.1,7.05,1.0,0.34
26,0.1,1.75,1.0,0.36
10,0.1,3.24,1.0,0.24
0,0.2,2.8,1.0,0.36
38,0.2,0.31,0.91,0.44
39,0.2,0.23,0.91,0.44
25,0.2,16.83,1.0,0.37
26,0.2,3.72,1.0,0.39
10,0.2,6.4,1.0,0.26
0,0.3,4.12,1.0,0.36
38,0.3,0.47,0.85,0.48
39,0.3,0.35,0.85,0.48
25,0.3,24.03,1.0,0.44
26,0.3,7.21,1.0,0.39
10,0.3,10.22,1.0,0.29
0,0.4,5.34,1.0,0.42
38,0.4,0.56,0.81,0.49
39,0.4,0.48,0.81,0.49
25,0.4,37.74,1.0,0.46
26,0.4,10.49,1.0,0.41
10,0.4,16.52,1.0,0.3
0,0.5,6.68,1.0,0.39
38,0.5,0.7,0.79,0.48
39,0.5,0.63,0.79,0.48
25,0.5,45.58,1.0,0.47
26,0.5,13.07,1.0,0.45
10,0.5,22.57,1.0,0.32
0,0.6,7.95,1.0,0.43
38,0.6,0.76,0.78,0.5
39,0.6,0.69,0.78,0.5
25,0.6,48.38,1.0,0.46
26,0.6,16.77,1.0,0.44
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
38,1,1.13,0.73,0.52
