A,p,t,R_train_A_p,R_validation_A_p
7,0.1,0.28,1.0,0.2
36,0.1,0.89,0.3,0.27
37,0.1,0.48,0.3,0.27
1,0.2,20.22,0.95,0.24
4,0.2,1.34,1.0,0.19
35,0.3,3.42,0.29,0.28
0,0.4,17.1,0.62,0.38
2,0.5,62.14,1.0,0.26
3,0.8,4.91,1.0,0.24
34,1.0,19.69,0.33,0.36
37,1.0,5.4,0.33,0.36
0,1.0,42.02,0.6,0.44
1,1.0,123.41,0.7,0.28
2,1.0,143.53,1.0,0.28
3,1.0,6.76,1.0,0.22
4,1.0,9.29,1.0,0.22
5,1.0,63.02,0.61,0.45
6,1.0,160.2,0.71,0.32
8,1.0,10.06,1.0,0.25
9,1.0,10.8,1.0,0.25
10,1.0,495.04,None,None
