A,p,t,R_train_A_p,R_validation_A_p
7,0.1,0.22,1.0,0.29
4,0.1,0.27,1.0,0.29
36,0.1,0.86,0.44,0.34
3,0.2,0.55,1.0,0.31
10,0.2,5.93,1.0,0.1
35,0.3,1.93,0.41,0.37
37,0.4,2.09,0.44,0.4
0,0.5,10.66,0.53,0.36
1,0.8,15.55,0.93,0.36
33,1.0,14.79,0.43,0.43
34,1.0,20.61,0.44,0.43
37,1.0,6.03,0.43,0.43
0,1.0,21.45,0.46,0.38
1,1.0,20.86,0.87,0.37
2,1.0,68.9,1.0,0.44
3,1.0,2.55,1.0,0.34
4,1.0,2.27,1.0,0.34
5,1.0,32.26,0.46,0.36
8,1.0,3.17,1.0,0.37
9,1.0,2.72,1.0,0.37
10,1.0,98.67,1.0,0.12
11,1.0,366.99,1.0,0.11
12,1.0,380.5,1.0,0.16
13,1.0,120.17,None,None
