A,p,t,R_train_A_p,R_validation_A_p
24,0.5,11.63,1.0,0.41
39,0.4,0.48,0.81,0.49
14,1.0,101.46,1.0,0.58
34,0.3,1.03,0.85,0.48
35,0.7,0.76,0.68,0.5
15,0.1,3.76,1.0,0.24
37,0.8,0.95,0.76,0.5
23,0.4,12.06,1.0,0.38
34,0.3,1.03,0.85,0.48
13,0.1,4.67,1.0,0.43
1,0.5,8.93,1.0,0.46
37,0.1,0.16,0.99,0.38
13,0.5,43.19,1.0,0.53
33,0.8,2.67,0.76,0.5
22,0.6,16.98,1.0,0.43
34,0.4,1.25,0.81,0.49
34,0.7,2.02,0.76,0.5
11,0.7,59.39,1.0,0.41
30,0.1,0.11,0.23,0.03
24,0.1,3.05,1.0,0.36
5,0.9,10.58,1.0,0.46
5,0.3,4.34,1.0,0.38
15,0.3,16.63,1.0,0.29
30,0.9,0.94,0.13,0.09
35,0.6,0.64,0.7,0.5
24,0.3,6.79,1.0,0.37
17,0.9,179.45,0.96,0.49
28,0.1,4.95,1.0,0.35
19,0.8,55.99,0.89,0.55
1,0.3,5.68,1.0,0.36
12,0.1,3.25,1.0,0.38
28,0.4,17.63,1.0,0.4
23,0.2,5.58,1.0,0.35
8,0.4,0.37,1.0,0.21
28,0.8,34.98,1.0,0.47
8,0.7,0.68,1.0,0.26
19,0.5,26.94,0.88,0.53
9,0.6,0.53,1.0,0.22
6,0.6,17.68,1.0,0.39
0,0.3,4.12,1.0,0.36
12,0.8,42.62,1.0,0.48
11,0.8,73.64,1.0,0.41
16,0.4,13.44,0.99,0.39
14,0.7,60.22,1.0,0.56
30,0.1,0.11,0.23,0.03
27,0.3,13.16,1.0,0.37
32,0.4,0.95,0.78,0.5
22,0.4,10.87,1.0,0.38
27,0.2,7.1,1.0,0.39
10,0.6,33.23,1.0,0.32
15,0.1,3.76,1.0,0.24
39,0.5,0.63,0.79,0.48
4,0.3,0.14,1.0,0.17
1,0.2,4.06,1.0,0.2
8,0.9,0.91,1.0,0.22
25,0.9,74.28,1.0,0.46
30,0.6,0.6,0.15,0.07
31,0.6,1.11,0.62,0.48
17,0.9,179.45,0.96,0.49
9,0.4,0.35,1.0,0.21
31,0.1,0.27,0.9,0.36
28,0.5,5.77,None,None
