A,p,t,R_train_A_p,R_validation_A_p
28,0.9,43.64,1.0,0.44
17,0.1,8.49,0.96,0.38
1,0.6,10.22,1.0,0.44
29,0.6,29.25,1.0,0.45
24,0.7,20.35,1.0,0.37
33,0.3,1.26,0.85,0.48
35,0.3,0.33,0.78,0.49
15,0.4,24.71,1.0,0.3
1,0.3,5.68,1.0,0.36
20,0.3,6.01,1.0,0.45
8,0.9,0.91,1.0,0.22
32,0.6,1.38,0.75,0.5
32,0.9,2.17,0.72,0.51
11,0.8,73.64,1.0,0.41
26,0.9,25.04,1.0,0.44
23,1.0,35.76,1.0,0.45
22,0.6,16.98,1.0,0.43
28,0.3,13.51,1.0,0.38
25,0.8,74.16,1.0,0.48
33,0.4,1.34,0.79,0.49
31,0.5,0.92,0.63,0.48
31,0.9,1.59,0.6,0.5
32,0.6,1.38,0.75,0.5
29,0.8,38.27,1.0,0.47
22,1.0,35.48,1.0,0.46
35,0.8,0.83,0.68,0.51
31,0.4,0.78,0.65,0.48
20,0.3,6.01,1.0,0.45
39,0.5,0.63,0.79,0.48
30,0.5,0.5,0.17,0.07
19,0.9,67.88,0.89,0.57
35,0.9,0.96,0.66,0.51
32,1.0,2.18,0.71,0.52
37,0.7,0.85,0.76,0.5
19,0.4,20.15,0.87,0.54
31,0.9,1.59,0.6,0.5
23,1.0,35.76,1.0,0.45
4,0.6,0.27,1.0,0.15
0,0.4,5.34,1.0,0.42
6,0.1,3.2,1.0,0.1
36,0.1,0.12,0.97,0.38
17,1.0,222.76,0.96,0.48
14,0.2,8.59,1.0,0.5
33,0.3,1.26,0.85,0.48
17,0.4,50.14,0.96,0.48
13,0.1,4.67,1.0,0.43
27,0.1,3.89,1.0,0.36
3,0.6,0.48,1.0,0.15
23,0.3,8.49,1.0,0.37
15,0.1,3.76,1.0,0.24
5,0.2,3.27,1.0,0.36
4,0.1,0.18,1.0,0.18
2,0.1,0.31,1.0,0.18
23,0.5,14.85,1.0,0.42
8,0.3,0.27,1.0,0.19
11,0.9,87.5,1.0,0.42
0,0.7,9.21,1.0,0.4
37,0.1,0.16,0.99,0.38
15,0.3,16.63,1.0,0.29
2,0.1,0.31,1.0,0.18
22,1.0,35.48,1.0,0.46
7,0.5,0.47,1.0,0.24
21,0.8,27.19,1.0,0.38
1,0.5,8.93,1.0,0.46
28,0.9,43.64,1.0,0.44
38,0.1,0.17,0.99,0.38
16,0.7,27.87,None,None
