A,p,t,R_train_A_p,R_validation_A_p
14,0.8,78.35,1.0,0.56
18,0.1,8.59,0.92,0.43
26,0.9,25.04,1.0,0.44
6,0.3,7.96,1.0,0.26
18,0.2,19.25,0.92,0.47
21,0.9,30.7,1.0,0.42
27,0.9,51.16,1.0,0.44
12,0.5,20.83,1.0,0.46
18,1.0,214.05,0.93,0.55
31,0.9,1.59,0.6,0.5
25,1.0,91.84,1.0,0.51
2,0.8,14.01,1.0,0.23
15,0.7,58.75,1.0,0.33
26,0.3,7.21,1.0,0.39
23,0.9,29.06,1.0,0.41
23,0.2,5.58,1.0,0.35
28,0.9,43.64,1.0,0.44
6,0.3,7.96,1.0,0.26
33,0.7,2.41,0.76,0.5
23,0.8,29.48,1.0,0.38
1,0.8,13.18,1.0,0.5
2,0.5,0.4,1.0,0.16
39,1.0,1.12,0.73,0.52
37,0.7,0.85,0.76,0.5
10,0.3,10.22,1.0,0.29
32,0.4,0.95,0.78,0.5
0,0.4,5.34,1.0,0.42
34,0.9,2.5,0.74,0.5
14,0.7,60.22,1.0,0.56
32,0.6,1.38,0.75,0.5
36,0.6,0.53,0.77,0.51
29,0.5,23.69,1.0,0.45
35,1.0,1.04,0.65,0.52
0,0.7,9.21,1.0,0.4
32,0.3,0.86,0.84,0.48
33,0.9,2.96,0.74,0.5
13,0.7,70.76,1.0,0.51
3,0.8,0.63,1.0,0.19
23,1.0,35.76,1.0,0.45
35,0.4,0.43,0.72,0.5
32,0.7,1.67,0.74,0.5
31,0.6,1.11,0.62,0.48
26,0.6,16.77,1.0,0.44
0,0.9,13.22,1.0,0.44
34,1.0,2.56,0.73,0.52
39,0.6,0.69,0.78,0.5
29,1.0,48.7,1.0,0.5
1,0.4,7.31,1.0,0.43
11,0.9,87.5,1.0,0.42
37,0.3,0.43,0.85,0.48
5,0.9,10.58,1.0,0.46
16,0.1,2.98,0.98,0.32
4,0.2,0.09,1.0,0.12
1,0.8,13.18,1.0,0.5
0,0.5,3.72,None,None
