A,p,t,R_train_A_p,R_validation_A_p
0,0.1,3.15,0.01,0.01
1,0.1,4.64,0.11,0.05
2,0.1,137.23,1.0,0.13
3,0.1,219.54,1.0,0.13
4,0.1,79.94,1.0,0.13
5,0.1,11.18,0.46,0.23
6,0.1,40.09,0.92,0.24
7,0.1,161.38,1.0,0.23
8,0.1,190.63,1.0,0.23
9,0.1,135.17,1.0,0.23
10,0.1,3.83,1.0,-0.17
11,0.1,3.58,1.0,-0.07
12,0.1,3.16,1.0,-0.04
13,0.1,3.74,1.0,-0.01
14,0.1,3.4,1.0,0.06
15,0.1,3.51,1.0,-0.17
16,0.1,3.22,0.42,-0.07
17,0.1,11.48,0.2,-0.05
18,0.1,10.97,0.11,-0.01
19,0.1,3.19,0.11,0.06
20,0.1,166.97,None,None
