A,p,t,R_train_A_p,R_validation_A_p
0,0.1,2.08,1.0,0.34
1,0.1,2.79,1.0,0.12
2,0.1,0.31,1.0,0.18
3,0.1,0.31,1.0,0.18
4,0.1,0.18,1.0,0.18
5,0.1,2.39,1.0,0.31
6,0.1,3.2,1.0,0.1
7,0.1,0.34,1.0,0.15
8,0.1,0.3,1.0,0.15
9,0.1,0.29,1.0,0.15
10,0.1,3.24,1.0,0.24
11,0.1,4.01,1.0,0.32
12,0.1,3.25,1.0,0.38
13,0.1,4.67,1.0,0.43
14,0.1,4.32,1.0,0.44
15,0.1,3.76,1.0,0.24
16,0.1,2.98,0.98,0.32
17,0.1,8.49,0.96,0.38
18,0.1,8.59,0.92,0.43
19,0.1,3.24,0.88,0.42
20,0.1,2.55,1.0,0.36
21,0.1,3.59,1.0,0.37
22,0.1,3.23,1.0,0.36
23,0.1,3.18,1.0,0.36
24,0.1,3.05,1.0,0.36
25,0.1,7.05,1.0,0.34
26,0.1,1.75,1.0,0.36
27,0.1,3.89,1.0,0.36
28,0.1,4.95,1.0,0.35
29,0.1,4.96,1.0,0.35
30,0.1,0.11,0.23,0.03
31,0.1,0.27,0.9,0.36
32,0.1,0.34,0.97,0.38
33,0.1,0.47,0.98,0.38
34,0.1,0.45,0.99,0.38
35,0.1,0.13,0.94,0.37
36,0.1,0.12,0.97,0.38
37,0.1,0.16,0.99,0.38
38,0.1,0.17,0.99,0.38
39,0.1,0.17,0.99,0.38
14,0.2,8.59,1.0,0.5
21,0.2,5.94,1.0,0.35
20,0.2,4.52,1.0,0.42
14,0.3,16.97,1.0,0.52
0,0.2,2.8,1.0,0.36
14,0.4,26.02,1.0,0.56
32,0.2,0.54,0.89,0.44
32,0.3,0.86,0.84,0.48
20,0.3,6.01,1.0,0.45
32,0.4,0.95,0.78,0.5
20,0.4,8.74,1.0,0.47
0,0.3,4.12,1.0,0.36
0,0.4,5.34,1.0,0.42
20,0.5,11.09,1.0,0.46
32,0.5,1.23,0.77,0.49
20,0.6,11.05,1.0,0.46
32,0.6,1.38,0.75,0.5
32,0.7,1.67,0.74,0.5
14,0.5,37.67,1.0,0.54
14,0.6,51.43,1.0,0.56
14,0.7,60.22,1.0,0.56
14,0.8,78.35,1.0,0.56
0,0.5,6.68,1.0,0.39
14,0.9,95.2,1.0,0.58
20,0.7,15.63,1.0,0.42
14,1.0,101.46,1.0,0.58
14,1.0,101.46,1.0,0.58
20,0.8,18.18,1.0,0.41
14,1.0,101.46,1.0,0.58
32,0.8,1.82,0.73,0.51
32,0.9,2.17,0.72,0.51
20,0.9,27.02,1.0,0.45
20,1.0,24.7,1.0,0.47
20,1.0,24.7,1.0,0.47
32,1.0,2.18,0.71,0.52
14,1.0,101.46,1.0,0.58
32,1.0,2.18,0.71,0.52
32,1.0,2.18,0.71,0.52
14,1.0,101.46,1.0,0.58
32,1.0,2.18,0.71,0.52
20,1.0,23.06,None,None
