A,p,t,R_train_A_p,R_validation_A_p
31,0.1,1.73,0.41,0.35
39,0.1,0.9,0.44,0.35
30,0.1,1.32,0.33,0.34
34,0.1,2.64,0.44,0.35
33,0.1,1.6,0.44,0.35
22,0.1,74.28,1.0,0.31
24,0.1,17.93,1.0,0.29
25,0.1,62.74,1.0,0.33
20,0.1,101.68,1.0,0.3
39,0.2,1.64,0.44,0.38
20,0.3,173.07,0.83,0.37
31,0.3,3.98,0.41,0.39
39,0.4,3.05,0.44,0.4
20,0.4,222.18,0.72,0.41
31,0.4,5.51,0.41,0.4
39,0.5,3.73,0.43,0.41
31,0.6,8.12,0.41,0.42
39,0.6,4.81,0.43,0.42
30,0.6,6.81,0.34,0.35
34,0.6,13.09,0.43,0.42
33,0.6,8.12,0.43,0.42
22,0.6,419.85,0.68,0.47
24,0.6,61.22,None,None
