A,p,t,R_train_A_p,R_validation_A_p
0,0.1,2.31,0.86,0.35
1,0.1,1.43,1.0,0.37
2,0.1,0.27,1.0,0.29
3,0.1,0.31,1.0,0.29
4,0.1,0.27,1.0,0.29
5,0.1,3.19,0.89,0.35
6,0.1,3.98,1.0,0.37
7,0.1,0.22,1.0,0.29
8,0.1,0.3,1.0,0.29
9,0.1,0.24,1.0,0.29
10,0.1,2.57,1.0,0.11
11,0.1,7.4,1.0,0.1
12,0.1,7.67,1.0,0.13
13,0.1,7.48,1.0,0.15
14,0.1,4.19,1.0,0.17
15,0.1,3.91,1.0,0.11
16,0.1,2.41,0.6,0.09
17,0.1,4.29,0.44,0.13
18,0.1,7.51,0.36,0.15
19,0.1,7.63,0.31,0.17
20,0.1,101.68,1.0,0.3
21,0.1,116.26,1.0,0.32
22,0.1,74.28,1.0,0.31
23,0.1,52.96,1.0,0.31
24,0.1,17.93,1.0,0.29
25,0.1,62.74,1.0,0.33
26,0.1,131.76,1.0,0.33
27,0.1,28.34,1.0,0.34
28,0.1,64.22,1.0,0.33
29,0.1,62.76,1.0,0.33
30,0.1,1.32,0.33,0.34
31,0.1,1.73,0.41,0.35
32,0.1,2.53,0.44,0.34
33,0.1,1.6,0.44,0.35
34,0.1,2.64,0.44,0.35
35,0.1,0.76,0.42,0.33
36,0.1,0.86,0.44,0.34
37,0.1,0.72,0.44,0.35
38,0.1,0.9,0.44,0.35
39,0.1,0.9,0.44,0.35
1,0.2,3.0,1.0,0.4
1,0.3,4.68,1.0,0.41
1,0.4,6.6,1.0,0.38
1,0.5,8.71,0.99,0.38
1,0.6,12.11,0.98,0.36
6,0.2,9.53,1.0,0.41
6,0.3,15.72,1.0,0.41
6,0.4,21.85,1.0,0.39
6,0.5,28.91,1.0,0.38
6,0.6,35.84,0.99,0.38
6,0.7,43.26,0.97,0.38
6,0.8,48.48,0.95,0.38
6,0.9,55.98,0.92,0.37
6,1.0,62.81,0.89,0.37
6,1.0,48.05,None,None
