A,p,t,R_train_A_p,R_validation_A_p
0,0.1,2.08,1.0,0.34
0,0.1,2.08,1.0,0.34
1,0.1,2.79,1.0,0.12
1,0.1,2.79,1.0,0.12
2,0.1,0.31,1.0,0.18
2,0.1,0.31,1.0,0.18
3,0.1,0.31,1.0,0.18
3,0.1,0.31,1.0,0.18
4,0.1,0.18,1.0,0.18
4,0.1,0.18,1.0,0.18
5,0.1,2.39,1.0,0.31
5,0.1,2.39,1.0,0.31
6,0.1,3.2,1.0,0.1
6,0.1,3.2,1.0,0.1
7,0.1,0.34,1.0,0.15
7,0.1,0.34,1.0,0.15
8,0.1,0.3,1.0,0.15
8,0.1,0.3,1.0,0.15
9,0.1,0.29,1.0,0.15
9,0.1,0.29,1.0,0.15
10,0.1,3.24,1.0,0.24
10,0.1,3.24,1.0,0.24
11,0.1,4.01,1.0,0.32
11,0.1,4.01,1.0,0.32
12,0.1,3.25,1.0,0.38
12,0.1,3.25,1.0,0.38
13,0.1,4.67,1.0,0.43
13,0.1,4.67,1.0,0.43
14,0.1,4.32,1.0,0.44
14,0.1,4.32,1.0,0.44
15,0.1,3.76,1.0,0.24
15,0.1,3.76,1.0,0.24
16,0.1,2.98,0.98,0.32
16,0.1,2.98,0.98,0.32
17,0.1,8.49,0.96,0.38
17,0.1,8.49,0.96,0.38
18,0.1,8.59,0.92,0.43
18,0.1,8.59,0.92,0.43
19,0.1,3.24,0.88,0.42
19,0.1,3.24,0.88,0.42
20,0.1,2.55,1.0,0.36
20,0.1,2.55,1.0,0.36
21,0.1,3.59,1.0,0.37
21,0.1,3.59,1.0,0.37
22,0.1,3.23,1.0,0.36
22,0.1,3.23,1.0,0.36
23,0.1,3.18,1.0,0.36
23,0.1,3.18,1.0,0.36
24,0.1,3.05,1.0,0.36
24,0.1,3.05,1.0,0.36
25,0.1,7.05,1.0,0.34
25,0.1,7.05,1.0,0.34
26,0.1,1.75,1.0,0.36
26,0.1,1.75,1.0,0.36
27,0.1,3.89,1.0,0.36
27,0.1,3.89,1.0,0.36
28,0.1,4.95,1.0,0.35
28,0.1,4.95,1.0,0.35
29,0.1,4.96,1.0,0.35
29,0.1,4.96,1.0,0.35
30,0.1,0.11,0.23,0.03
30,0.1,0.11,0.23,0.03
31,0.1,0.27,0.9,0.36
31,0.1,0.27,0.9,0.36
32,0.1,0.34,0.97,0.38
32,0.1,0.34,0.97,0.38
33,0.1,0.47,0.98,0.38
33,0.1,0.47,0.98,0.38
34,0.1,0.45,0.99,0.38
34,0.1,0.45,0.99,0.38
35,0.1,0.13,0.94,0.37
35,0.1,0.13,0.94,0.37
36,0.1,0.12,0.97,0.38
36,0.1,0.12,0.97,0.38
37,0.1,0.16,0.99,0.38
37,0.1,0.16,0.99,0.38
38,0.1,0.17,0.99,0.38
38,0.1,0.17,0.99,0.38
39,0.1,0.17,0.99,0.38
39,0.1,0.17,0.99,0.38
39,0.2,0.23,0.91,0.44
0,0.3,4.12,1.0,0.36
0,0.3,4.12,1.0,0.36
1,0.3,5.68,1.0,0.36
1,0.3,5.68,1.0,0.36
2,0.3,0.25,1.0,0.17
2,0.3,0.25,1.0,0.17
3,0.3,0.26,1.0,0.17
3,0.3,0.26,1.0,0.17
4,0.3,0.14,1.0,0.17
4,0.3,0.14,1.0,0.17
5,0.3,4.34,1.0,0.38
5,0.3,4.34,1.0,0.38
6,0.3,7.96,1.0,0.26
6,0.3,7.96,1.0,0.26
